file,status,n_screens_scored,pairs_selected,total_cost,budget,budget_util_pct,impressions_per_week,avg_relevance
_uploaded_campaign_1.docx,ok,33954,17,39561.75,40000.0,98.9,4375261.0,0.656
_uploaded_campaign_2.docx,ok,15690,10,11815.02,12000.0,98.5,674826.0,0.556
campaign_1.docx,ok,33954,17,39561.75,40000.0,98.9,4375261.0,0.656
campaign_2.docx,ok,15690,10,11815.02,12000.0,98.5,674826.0,0.556
campaign_3.docx,ok,66978,24,21855.6,22000.0,99.3,5882396.0,0.715
campaign_4.docx,ok,37824,12,8562.75,9000.0,95.1,3238505.0,0.857
campaign_5.docx,ok,37824,16,34339.6,35000.0,98.1,4552467.0,0.722
campaign_6.docx,ok,66978,19,19522.0,20000.0,97.6,4381984.0,0.633
